mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
m11	s0	0	0.15012427127288266	0.0024896040057781066	0.9999918220172876
m11	s1	0	0.7501918695758226	0.0030943393209996264	0.9999918220172876
m11	s2	0	0.9499997816194241	0.00010449392931474163	0.9999918220172876
m11	s3	0	0.3495622480003348	0.004669647299303088	0.9999918220172876
m14	s0	0	0.15012427127288266	0.0024896040057781066	0.9999999760324169
m14	s1	0	0.7501918695758226	0.0030943393209996264	0.9999999760324169
m14	s2	0	0.9499997816194241	0.00010449392931474163	0.9999999760324169
m14	s3	0	0.3495622480003348	0.004669647299303088	0.9999999760324169
m15	s0	0	0.15012427127288266	0.0024896040057781066	0.9999999999936389
m15	s1	0	0.7501918695758226	0.0030943393209996264	0.9999999999936389
m15	s2	0	0.9499997816194241	0.00010449392931474163	0.9999999999936389
m15	s3	0	0.3495622480003348	0.004669647299303088	0.9999999999936389
m17	s0	0	0.15012427127288266	0.0024896040057781066	0.9999999999936158
m17	s1	0	0.7501918695758226	0.0030943393209996264	0.9999999999936158
m17	s2	0	0.9499997816194241	0.00010449392931474163	0.9999999999936158
m17	s3	0	0.3495622480003348	0.004669647299303088	0.9999999999936158
m2	s0	0	0.15012427127288266	0.0024896040057781066	0.9937316440822167
m2	s1	0	0.7501918695758226	0.0030943393209996264	0.9937316440822167
m2	s2	0	0.9499997816194241	0.00010449392931474163	0.9937316440822167
m2	s3	0	0.3495622480003348	0.004669647299303088	0.9937316440822167
m26	s0	0	0.15012427127288266	0.0024896040057781066	0.9999999998989555
m26	s1	0	0.7501918695758226	0.0030943393209996264	0.9999999998989555
m26	s2	0	0.9499997816194241	0.00010449392931474163	0.9999999998989555
m26	s3	0	0.3495622480003348	0.004669647299303088	0.9999999998989555
m3	s0	0	0.15012427127288266	0.0024896040057781066	0.9891306681381931
m3	s1	0	0.7501918695758226	0.0030943393209996264	0.9891306681381931
m3	s2	0	0.9499997816194241	0.00010449392931474163	0.9891306681381931
m3	s3	0	0.3495622480003348	0.004669647299303088	0.9891306681381931
m31	s0	0	0.15012427127288266	0.0024896040057781066	0.999999920151106
m31	s1	0	0.7501918695758226	0.0030943393209996264	0.999999920151106
m31	s2	0	0.9499997816194241	0.00010449392931474163	0.999999920151106
m31	s3	0	0.3495622480003348	0.004669647299303088	0.999999920151106
m32	s0	0	0.15012427127288266	0.0024896040057781066	0.9797729112316773
